sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_03773,0608900,2018,9,2,200000_plus,3,married_couple,no_65_plus,35_64,231200,3,1
pums_ca_08900_03774,0608900,2018,19,2,40000_44999,2,married_couple,has_65_plus,65_plus,41900,2,1
pums_ca_08900_03775,0608900,2018,11,2,50000_59999,2,married_couple,has_65_plus,65_plus,55300,2,1
pums_ca_08900_03776,0608900,2018,13,1,30000_34999,1,nonfamily_not_living_alone,has_65_plus,65_plus,31400,1,6
pums_ca_08900_03777,0608900,2018,14,3,100000_124999,2,other_female_householder,no_65_plus,35_64,117300,2,3
pums_ca_08900_03778,0608900,2018,14,2,35000_39999,2,nonfamily_not_living_alone,no_65_plus,35_64,37000,2,7
pums_ca_08900_03779,0608900,2018,12,6,150000_199999,3,other_female_householder,no_65_plus,35_64,180100,3,3
pums_ca_08900_03780,0608900,2018,14,2,125000_149999,3,nonfamily_not_living_alone,no_65_plus,35_64,133800,3,7
pums_ca_08900_03781,0608900,2018,38,3,20000_24999,1,other_female_householder,no_65_plus,18_34,20000,1,3
pums_ca_08900_03782,0608900,2018,14,1,75000_99999,1,nonfamily_living_alone,no_65_plus,35_64,77500,1,4
pums_ca_08900_03783,0608900,2018,7,1,15000_19999,2,nonfamily_not_living_alone,has_65_plus,65_plus,16500,2,6
pums_ca_08900_03784,0608900,2018,15,1,10000_14999,1,nonfamily_not_living_alone,no_65_plus,18_34,10900,1,6
pums_ca_08900_03785,0608900,2018,2,2,30000_34999,2,married_couple,has_65_plus,65_plus,32800,2,1
pums_ca_08900_03786,0608900,2018,2,2,40000_44999,2,married_couple,has_65_plus,65_plus,40500,2,1
pums_ca_08900_03787,0608900,2018,12,4,100000_124999,3,married_couple,no_65_plus,35_64,111000,3,1
pums_ca_08900_03788,0608900,2018,16,4,45000_49999,2,other_female_householder,no_65_plus,18_34,48400,2,3
pums_ca_08900_03789,0608900,2018,13,2,100000_124999,2,other_female_householder,no_65_plus,35_64,110000,2,3
pums_ca_08900_03790,0608900,2018,12,2,60000_74999,3,married_couple,no_65_plus,18_34,74500,3,1
pums_ca_08900_03791,0608900,2018,4,2,150000_199999,4_plus,married_couple,has_65_plus,65_plus,180300,4,1
pums_ca_08900_03792,0608900,2018,14,1,40000_44999,1,nonfamily_not_living_alone,has_65_plus,65_plus,44000,1,6
pums_ca_08900_03793,0608900,2018,18,5,45000_49999,4_plus,nonfamily_living_alone,no_65_plus,18_34,49500,4,5
pums_ca_08900_03794,0608900,2018,13,1,30000_34999,1,nonfamily_not_living_alone,has_65_plus,65_plus,34400,1,6
pums_ca_08900_03795,0608900,2018,7,2,75000_99999,2,married_couple,has_65_plus,35_64,98200,2,1
pums_ca_08900_03796,0608900,2018,19,2,50000_59999,2,married_couple,has_65_plus,65_plus,54500,2,1
pums_ca_08900_03797,0608900,2018,8,2,50000_59999,2,married_couple,has_65_plus,65_plus,50000,2,1
pums_ca_08900_03798,0608900,2018,13,2,60000_74999,2,married_couple,has_65_plus,35_64,63000,2,1
pums_ca_08900_03799,0608900,2018,13,2,75000_99999,3,nonfamily_not_living_alone,has_65_plus,65_plus,87700,3,7
pums_ca_08900_03800,0608900,2018,11,2,45000_49999,2,other_female_householder,no_65_plus,35_64,45000,2,3
pums_ca_08900_03801,0608900,2018,15,2,60000_74999,2,married_couple,has_65_plus,65_plus,64300,2,1
pums_ca_08900_03802,0608900,2018,5,2,10000_14999,1,other_female_householder,no_65_plus,35_64,14100,1,3
pums_ca_08900_03803,0608900,2018,15,2,75000_99999,4_plus,nonfamily_living_alone,no_65_plus,35_64,90600,4,5
pums_ca_08900_03804,0608900,2018,13,2,125000_149999,4_plus,married_couple,has_65_plus,65_plus,134500,5,1
pums_ca_08900_03805,0608900,2018,20,2,100000_124999,4_plus,married_couple,no_65_plus,35_64,118500,4,1
pums_ca_08900_03806,0608900,2018,11,2,20000_24999,1,married_couple,no_65_plus,35_64,24200,1,1
pums_ca_08900_03807,0608900,2018,20,3,30000_34999,2,married_couple,no_65_plus,35_64,30000,2,1
pums_ca_08900_03808,0608900,2018,27,2,100000_124999,2,married_couple,no_65_plus,18_34,110000,2,1
